Company Name	Year Founded	Founder(s)	Industry	Funding Amount	Description	Employee Count
Neogrowth	2010	Dhruv Khaitan, Piyush Khaitan	Business Development, Finance, Financial Services, Market Research	$107,798,787	NeoGrowth Credit Pvt Ltd is an RBI-registered non-deposit taking NBFC that provides short-term business loans to Indian merchants.	101-250
Paytm Mall	2010	Vijay Shekhar Sharma	E-Commerce, E-Commerce Platforms, Internet, Marketplace, Retail, Shopping	$795,000,000	Paytm Mall is a division of One97 Communications' Paytm brand and an online and mobile marketplace.	1001-5000
Hopscotch	2011	Rahul Anand	E-Commerce, Internet, Retail	$52,800,000	Hopscotch gives you behind-the-scenes access to international businesses for babies, children, and mothers.	251-500
Setu	2018	Sahil Kini	Financial Services	$18,549,687	Setu's goal is to boost economic growth by making formal finance more accessible to everyone.	11-50
Blue Tokai Coffee Roasters	2012	Matt Chitharanjan, Namrata Asthana	Consumer Goods, Delivery, Food and Beverage, Food Processing	$5,569,257	Blue Tokai Coffee Roasters offers a dedicated online marketplace for the sale of roasted coffee.	1-10
Avanse Financial Services	2012	Amit Gainda	Education, Finance, Real Estate, Service Industry	$60,157,500	Avanse, a non-banking finance firm regulated by the Reserve Bank of India, is an education finance company (NBFC).	251-500
Gaana	2011	Avinash Mudaliar	Apps, Music, Music Streaming, Online Portals	$166,195,349	Gaana is an Indian music streaming service that features songs from Bollywood, Hindi, regional, and international artists.	251-500
LiquiLoans	2018	Achal Mittal, Gautam Adukia	Financial Services	$1,784,442	Liquiloans is a platform for peer-to-peer lending.	11-50
Clovia	2012	Neha Kant, Pankaj Vermani, Suman Chowdhury	E-Commerce, Fashion, Lingerie, Retail, Women's	$22,685,276	Clovia is a lingerie company that makes and distributes fashionable underwear, nightwear, and shapewear.	251-500
Scripbox	2012	Ashok Kumar, Atul Shinghal, Sanjiv Singhal	Angel Investment, Finance, Financial Services, FinTech, Wealth Management	$23,500,000	Scripbox is a mutual fund distributor in India that owns and manages an online investing platform.	101-250
RateGain	2004	Bhanu Chopra	Hospitality, Information Technology, Travel	$50,000,000	RateGain is a pioneer in the field of hospitality and travel technology.	501-1000
Epigamia	2007	Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Rohan Mirchandani, Uday Thakker	Consumer, Fast-Moving Consumer Goods, Food and Beverage, Health Care, Nutrition, Snack Food	$56,286,865	Epigamia is a high-quality, all-natural Greek yogurt that helps you make healthier choices without compromising flavor.	101-250
MCaffeine	2015	Tarun Sharma, Vikas Lachhwani	Beauty, Consumer, Consumer Goods, E-Commerce, Lifestyle	$5,781,631	MCaffeine is a personal care line that includes caffein-infused products for the face, body, and hair.	11-50
Chaayos	2012	Nitin Saluja, Raghav Verma	Food and Beverage, Food Delivery, Restaurants, Tea	$40,833,000	Chaayos is a chai tea shop that uses technology to provide a personalized cup of chai to customers.	1001-5000
TVF	2015	Dhawal Gusain	Digital Entertainment, E-Commerce, Film, Internet, Media and Entertainment	$20,970,000	TVF Play is an Indian premium entertainment portal aimed at teenagers.	101-250
WOW Skin Science India Ltd	2016		Beauty, Consumer Goods, Cosmetics, Fashion	â¹3,730,000,000	WOW Skin Science is a line of anti-aging products. Night is a facial care company that started on the internet.	
Financial Software & Systems	1991	Nagaraj Mylandla	Debit Cards, Financial Services, FinTech, Information Services, Information Technology, Mobile Payments, Payments, Software, Transaction Processing	$129,250,000	Financial Software & Systems (FSS) is a leading global provider of payment technology.	1001-5000
Ezetap	2011	Abhijit Bose, Bala Parthasarathy, Bhaktha Keshavachar, Sanjay Swamy, Shripati Acharya	Mobile, Payments, Point of Sale, Software	$51,000,000	Ezetap Mobile Solutions is a company that creates payment devices.	101-250
Financepeer	2017	Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye	Financial Services, FinTech, Peer to Peer	$3,709,141	Financepeer is a peer-to-peer lending platform powered by artificial intelligence.	11-50
Haptik	2013	Aakrit Vaish, Swapan Rajdev	Artificial Intelligence, Customer Service, Machine Learning, Messaging, Real Time, Software	$12,200,000	One of the largest Conversational AI firms in the world, with over 100 million devices and over 3 billion conversations handled.	101-250
GirnarSoft	2007	Amit Jain, Anurag Jain	Developer Tools, Enterprise Software, Mobile, Software, Web Development	$108,650,000	GirnarSoft is an IT company that focuses on providing corporate value through offshore and outsourced software development.	501-1000
Meesho	2015	Sanjeev Barnwal, Vidit Aatrey	E-Commerce, E-Commerce Platforms, Mobile Apps, Retail, Social Media	$515,200,000	Meesho is an online reselling platform that allows anyone to establish a business without having to put up any money.	1001-5000
Lenskart	2010	Amit Chaudhary, Peyush Bansal	Delivery, E-Commerce, Eyewear, Fashion, Health Care, Internet, Shopping	$554,629,632	Lenskart is an online eyeglasses retail portal established in India.	251-500
Udaan	2016	Amod Malviya, Sujeet Kumar, Vaibhav Gupta	B2B, Business Development, E-Commerce, Internet, Retail	$1,179,919,113	Udaan is a business-to-business (B2B) commerce platform that connects manufacturers, traders, retailers, and wholesalers in one place.	5001-10000
Zolve	2020		Banking, Financial Services	$15,000,000	Zolve gives financial aid to immigrants, allowing them to become financially self-sufficient.	11-50
SafexPay	2017	Ravi Gupta	FinTech, Payments	â¹440,000,000	Safexpay is a B2B2B finance company that specializes in platform and API infrastructure for businesses all over the world.	51-100
Pariksha	2015	Deepak Choudhary, Karanvir Singh Shekhawat, Utkarsh Bagri, Vikram Shekhawat	E-Learning, EdTech, Education, Skill Assessment	$6,065,079	Pariksha - The Success App is India's leading vernacular test preparation provider, catering to India's mobile first internet users.	51-100
Fyllo	2019	Sachin Gautam, Sudhanshu Rai, Sumit Sheoran	Agriculture, AgTech, Artificial Intelligence, Internet of Things	$557,033	Fyllo is a precision agriculture service provider that uses IoT and AI.	11-50
